"","budget","id","imdb_id","original_language","original_title","popularity","release_year","release_date","revenue","runtime","title","vote_average","vote_count"
"41",0,34996,"tt0112288","en","The Addiction",3.137285,1995,"1/10/95",0,82,"The Addiction",6.4,46
"42",0,649,"tt0061395","fr","Belle de jour",10.142662,1967,"5/24/67",0,101,"Belle de Jour",7.3,163
"43",0,26564,"tt0109508","en","Crumb",3.620388,1994,"9/10/94",3174695,119,"Crumb",7.6,71
"44",2.7e+07,8512,"tt0112857","en","Devil in a Blue Dress",4.646132,1995,"9/15/95",16140822,102,"Devil in a Blue Dress",6.3,88
"45",0,259209,"tt0113044","en","Feast of July",0.523575,1995,"10/12/95",0,116,"Feast of July",0,0
"46",0,9073,"tt0113114","en","Free Willy 2 - The Adventure Home",7.575098,1995,"7/19/95",0,95,"Free Willy 2 - The Adventure Home",5.5,130
"47",0,19326,"tt0113500","en","Jury Duty",3.676921,1995,"4/12/95",17014653,88,"Jury Duty",4,34
"48",5e+05,9071,"tt0113677","en","Living in Oblivion",10.058329,1995,"1/20/95",1148752,89,"Living in Oblivion",7.2,64
"49",0,8973,"tt0113690","en","Lord of Illusions",4.102409,1995,"8/25/95",0,119,"Lord of Illusions",5.9,87
"50",0,15730,"tt0107447","en","Love & Human Remains",0.354014,1993,"5/20/93",0,100,"Love & Human Remains",7,7
"51",1.5e+07,9070,"tt0113820","en","Mighty Morphin Power Rangers: The Movie",7.024227,1995,"6/30/95",6.6e+07,92,"Mighty Morphin Power Rangers: The Movie",5.2,153
"52",0,68274,"tt0113851","en","Moonlight and Valentino",1.01115,1995,"9/29/95",0,100,"Moonlight and Valentino",5.6,10
"53",2.2e+07,1642,"tt0113957","en","The Net",13.304342,1995,"7/28/95",110627965,114,"The Net",5.6,359
"54",0,11472,"tt0113986","en","Nine Months",8.482834,1995,"7/12/95",69660733,103,"Nine Months",5.5,171
"55",150000,36196,"tt0114095","en","Party Girl",1.165039,1995,"6/9/95",472370,94,"Party Girl",5.8,14
"56",4.2e+07,281,"tt0114558","en","Strange Days",11.223055,1995,"10/13/95",7959291,145,"Strange Days",6.8,334
"57",0,47939,"tt0114663","en","Three Wishes",11.002046,1995,"10/27/95",7025496,115,"Three Wishes",6.1,18
"58",8e+06,31611,"tt0114928","en","White Man's Burden",1.834099,1995,"12/1/95",0,89,"White Man's Burden",5.1,25
"59",2800000,50797,"tt0111579","ru","Утомлённые солнцем",2.486073,1994,"5/1/94",2616503,135,"Burnt by the Sun",6.7,35
"60",5.5e+07,8984,"tt0109635","en","Disclosure",11.812244,1994,"12/9/94",214015089,123,"Disclosure",5.9,217
"61",0,61813,"tt0112899","en","Dream Man",0.155859,1995,"1/1/95",0,0,"Dream Man",2.5,1
"62",0,397,"tt0113117","en","French Kiss",9.146544,1995,"5/5/95",0,111,"French Kiss",6.2,179
"63",0,27985,"tt0113028","en","Far from Home: The Adventures of Yellow Dog",2.657337,1995,"1/13/95",0,87,"Far from Home: The Adventures of Yellow Dog",5.6,27
"64",0,15789,"tt0113198","en","A Goofy Movie",10.177977,1995,"4/7/95",35348597,78,"A Goofy Movie",6.7,404
"65",1.5e+07,27303,"tt0113303","en","Hideaway",8.182165,1995,"3/3/95",12201255,103,"Hideaway",5,24
"66",0,72031,"tt0109906","en","The Glass Shield",1.012197,1994,"9/16/94",0,109,"The Glass Shield",5.4,9
"67",120,13701,"tt0110116","en","Immortal Beloved",7.983666,1994,"12/16/94",0,121,"Immortal Beloved",6.9,90
"68",0,14819,"tt0110006","en","Heavyweights",9.546707,1995,"2/17/95",17689177,100,"Heavyweights",6,97
"69",0,18713,"tt0110189","en","The Jerky Boys",0.748846,1995,"2/3/95",0,82,"The Jerky Boys",4.8,10
"70",6e+07,6280,"tt0110216","en","Junior",6.710215,1994,"11/22/94",3.7e+07,109,"Junior",4.7,381
"71",1.1e+07,11,"tt0076759","en","Star Wars",42.149697,1977,"5/25/77",775398007,121,"Star Wars",8.1,6778
"72",1.8e+07,9587,"tt0110367","en","Little Women",9.774994,1994,"12/21/94",0,115,"Little Women",7,222
"73",1e+07,17961,"tt0109731","fr","L'Enfer",1.948315,1994,"2/16/94",0,100,"L'Enfer",6.6,22
"74",0,11008,"tt0110443","en","Major Payne",9.253362,1995,"3/24/95",0,95,"Major Payne",6.1,164
"75",1.7e+07,28313,"tt0113691","en","Losing Isaiah",7.698526,1995,"3/17/95",7603766,106,"Losing Isaiah",6.4,28
"76",0,11318,"tt0110428","en","The Madness of King George",4.81307,1994,"12/28/94",0,107,"The Madness of King George",6.7,67
"77",0,40490,"tt0113755","en","Man of the House",2.558118,1995,"3/3/95",0,96,"Man of the House",5.1,40
"78",1.5e+07,24070,"tt0110538","en","Mixed Nuts",2.899608,1994,"12/21/94",0,97,"Mixed Nuts",5.2,37
"79",0,8986,"tt0110516","en","Milk Money",3.770115,1994,"8/31/94",18137661,108,"Milk Money",5.6,49
"80",5500000,38722,"tt0113896","en","My Family",3.121288,1995,"5/3/95",0,128,"My Family",7,11
"81",3.1e+07,1945,"tt0110638","en","Nell",5.930957,1994,"12/23/94",106683817,112,"Nell",6.1,128
"82",4800000,56428,"tt0106402","en","Beyond Bedlam",0.426952,1994,"4/22/94",0,89,"Beyond Bedlam",4,4
"83",3.4e+07,241,"tt0110632","en","Natural Born Killers",11.226856,1994,"8/25/94",50282766,119,"Natural Born Killers",6.9,927
"84",0,18220,"tt0114151","en","Poison Ivy II: Lily",6.448039,1996,"1/16/96",0,106,"Poison Ivy II: Lily",4.6,32
"85",0,2307,"tt0114210","en","A Pyromaniac's Love Story",0.463307,1995,"4/28/95",0,94,"A Pyromaniac's Love Story",7,2
"86",0,11450,"tt0110932","en","Quiz Show",7.772505,1994,"9/16/94",0,133,"Quiz Show",7.1,262
"87",2.2e+07,161495,"tt0114296","sv","Roommates",3.395867,1995,"3/1/95",12400000,108,"Roommates",6.4,7
"88",0,108,"tt0108394","fr","Trois couleurs : Bleu",8.843517,1993,"1/10/93",0,98,"Three Colors: Blue",7.7,311
"89",0,109,"tt0111507","fr","Trois couleurs : Blanc",6.5898,1994,"1/26/94",0,91,"Three Colors: White",7.3,218
"90",0,20306,"tt0114594","en","Swimming with Sharks",5.869261,1994,"9/10/94",0,101,"Swimming with Sharks",6.7,104
"91",0,31439,"tt0110081","zh","活着",5.260627,1994,"6/30/94",0,125,"To Live",7.7,62
"92",0,12122,"tt0114852","en","Village of the Damned",6.529879,1995,"4/28/95",0,99,"Village of the Damned",5.6,165
"93",0,95963,"tt0114888","en","The Walking Dead",0.620873,1995,"2/24/95",0,88,"The Walking Dead",6.6,4
"94",0,19855,"tt0111667","en","The War",3.908596,1994,"11/4/94",0,126,"The War",6.3,39
"95",0,60855,"tt0109655","en","Double Happiness",0.372239,1994,"9/7/94",759393,87,"Double Happiness",5.5,2
"96",3e+06,236,"tt0110598","en","Muriel's Wedding",5.254847,1994,"9/29/94",15119639,106,"Muriel's Wedding",6.9,104
"97",0,48287,"tt0112435","en","The Baby-Sitters Club",2.15805,1995,"8/18/95",0,94,"The Baby-Sitters Club",5.3,23
"98",0,10464,"tt0109484","en","Corrina, Corrina",6.924689,1994,"8/12/94",0,115,"Corrina, Corrina",6.4,83
"99",0,34152,"tt0109504","en","Crooklyn",2.533022,1994,"5/13/94",0,115,"Crooklyn",6.7,31
"100",4.6e+07,888,"tt0109813","en","The Flintstones",15.019586,1994,"5/26/94",341631208,91,"The Flintstones",5,559
"101",6e+06,712,"tt0109831","en","Four Weddings and a Funeral",8.990345,1994,"3/9/94",254700832,117,"Four Weddings and a Funeral",6.6,654
"102",0,41647,"tt0107472","en","Die Macht der Bilder: Leni Riefenstahl",0.568884,1993,"9/11/93",449707,180,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5
"103",4.5e+07,8587,"tt0110357","en","The Lion King",21.605761,1994,"6/23/94",788241776,89,"The Lion King",8,5520
"104",2.3e+07,854,"tt0110475","en","The Mask",14.13488,1994,"7/29/94",351583407,101,"The Mask",6.6,2550
"105",8e+06,10427,"tt0105226","en","Red Rock West",5.137903,1993,"7/8/93",2e+06,98,"Red Rock West",6.4,71
"106",2.7e+07,8831,"tt0111438","en","Timecop",8.907074,1994,"9/15/94",101646581,99,"Timecop",5.5,288
"107",1e+07,26352,"tt0110399","en","A Low Down Dirty Shame",3.021526,1994,"11/23/94",29392418,100,"A Low Down Dirty Shame",6,31
"108",0,41580,"tt0109454","fr","Le colonel Chabert",0.934312,1994,"1/1/94",0,110,"Colonel Chabert",5.9,9
"109",7e+06,22067,"tt0110186","en","Jason's Lyric",0.912909,1994,"9/28/94",20851521,119,"Jason's Lyric",5.9,9
"110",0,28732,"tt0113014","en","Fall Time",1.108494,1995,"5/13/95",0,88,"Fall Time",6.3,6
"111",0,75555,"tt0113043","en","The Fear",0.268043,1995,"1/20/95",0,98,"The Fear",3.4,7
"112",0,42981,"tt0113104","en","Frank and Ollie",0.142357,1995,"10/20/95",0,89,"Frank and Ollie",7.5,4
"113",0,226229,"tt0113827","en","Mirage",0.302957,1995,"11/21/95",0,92,"Mirage",4,1
"114",2.6e+07,8011,"tt0110027","en","Highlander III: The Sorcerer",6.866634,1994,"11/29/94",36800000,99,"Highlander: The Final Dimension",4.5,110
"115",8e+06,2654,"tt0113409","en","In the Mouth of Madness",8.497643,1994,"12/12/94",8946600,95,"In the Mouth of Madness",7.1,307
"116",0,19092,"tt0109035","en","Above the Rim",4.38154,1994,"3/23/94",0,96,"Above the Rim",6.7,40
"117",17080000,46094,"tt0109067","en","The Air Up There",1.896273,1994,"1/7/94",21011500,107,"The Air Up There",5.1,42
"118",3200000,16771,"tt0109219","en","Barcelona",1.632711,1994,"7/29/94",0,100,"Barcelona",6.6,20
"119",0,19819,"tt0109305","en","Blue Chips",6.131056,1994,"2/18/94",0,108,"Blue Chips",5.7,41
"120",0,57834,"tt0109306","en","Blue Sky",4.993829,1994,"9/16/94",0,101,"Blue Sky",6.1,28
"121",1.3e+07,4722,"tt0106452","en","Body Snatchers",6.559693,1993,"6/9/93",428868,87,"Body Snatchers",5.8,102
"122",0,18215,"tt0106471","en","Boxing Helena",4.304224,1993,"6/18/93",1796389,107,"Boxing Helena",4.5,59
"123",2.2e+07,1607,"tt0106489","en","A Bronx Tale",6.115628,1993,"9/14/93",17287898,121,"A Bronx Tale",7.4,447
"124",0,26391,"tt0109361","en","Cabin Boy",1.679042,1994,"1/7/94",3662459,80,"Cabin Boy",4.9,28
"125",3e+07,6075,"tt0106519","en","Carlito's Way",8.698509,1993,"11/10/93",36516012,144,"Carlito's Way",7.7,805
"126",0,9612,"tt0106598","en","Coneheads",10.722729,1993,"7/23/93",0,88,"Coneheads",4.8,228
"127",0,19176,"tt0109493","en","The Cowboy Way",4.286279,1994,"6/3/94",0,102,"The Cowboy Way",5.1,38
"128",0,49299,"tt0106660","en","Dangerous Game",2.70097,1993,"11/19/93",0,108,"Dangerous Game",5.4,9
"129",0,11566,"tt0106673","en","Dave",13.696394,1993,"5/7/93",6.3e+07,110,"Dave",6.3,205
"130",6900000,9571,"tt0106677","en","Dazed and Confused",6.8652,1993,"9/24/93",7993039,102,"Dazed and Confused",7.4,588
"131",0,24257,"tt0109729","en","The Endless Summer 2",0.408159,1994,"6/3/94",0,109,"The Endless Summer 2",7.1,12
"132",8e+06,34444,"tt0106834","en","Even Cowgirls Get the Blues",2.970724,1994,"5/13/94",0,96,"Even Cowgirls Get the Blues",4.2,29
"133",0,10443,"tt0106881","en","Fearless",9.284624,1993,"10/15/93",0,122,"Fearless",6.8,80
"134",0,18551,"tt0106926","en","Flesh and Bone",1.896869,1993,"11/5/93",9488998,126,"Flesh and Bone",6.2,22
"135",4.2e+07,37233,"tt0106918","en","The Firm",9.678367,1993,"6/30/93",270248367,154,"The Firm",6.6,513
"136",0,13815,"tt0109842","en","Fresh",3.970215,1994,"8/24/94",0,114,"Fresh",7.6,56
"137",4.4e+07,5503,"tt0106977","en","The Fugitive",10.08937,1993,"8/6/93",368875760,130,"The Fugitive",7.2,1240
"138",0,16097,"tt0110064","en","House Party 3",0.996047,1994,"1/1/94",0,100,"House Party 3",4.6,11
"139",4e+07,106143,"tt0110097","en","I'll Do Anything",1.742974,1994,"2/4/94",0,115,"I'll Do Anything",5.7,18
"140",0,34024,"tt0107322","en","King of the Hill",4.375347,1993,"8/20/93",0,103,"King of the Hill",6.4,33
"141",0,42580,"tt0107413","en","Life With Mikey",6.446229,1993,"6/4/93",0,91,"Life With Mikey",5.1,24
"142",0,2246,"tt0107497","en","Malice",9.861672,1993,"9/29/93",46405336,107,"Malice",5.9,105
"143",0,83718,"tt0111689","en","What Happened Was...",0.534606,1994,"9/9/94",0,91,"What Happened Was...",7,7
"144",0,31911,"tt0107613","en","Mr. Wonderful",13.011091,1993,"10/15/93",0,98,"Mr. Wonderful",5.5,11
"145",0,21450,"tt0107653","en","Naked",8.665198,1993,"9/14/93",0,131,"Naked",7.5,105
"146",2e+07,10447,"tt0110678","en","No Escape",9.715187,1994,"4/29/94",15340000,118,"No Escape",6.1,86
"147",4e+06,9300,"tt0107756","en","Orlando",3.800785,1992,"9/1/92",0,93,"Orlando",6.7,53
"148",3e+07,9559,"tt0107808","en","A Perfect World",8.040589,1993,"11/24/93",135130999,138,"A Perfect World",7.2,376
"149",2.6e+07,9800,"tt0107818","en","Philadelphia",13.373006,1993,"12/22/93",206678440,125,"Philadelphia",7.6,1019
"150",7e+06,713,"tt0107822","en","The Piano",7.436758,1993,"5/19/93",116700000,121,"The Piano",7.1,290
"151",1.1e+07,10872,"tt0110955","en","The Ref",5.868677,1994,"3/9/94",11439193,97,"The Ref",6.7,99
"152",0,10467,"tt0111001","en","The Road to Wellville",3.416181,1994,"10/28/94",0,118,"The Road to Wellville",5.5,43
"153",2e+07,8005,"tt0107977","en","Robin Hood: Men in Tights",17.136672,1993,"7/28/93",35739755,104,"Robin Hood: Men in Tights",6.4,575
"154",0,10412,"tt0105275","en","Romper Stomper",5.157926,1992,"3/5/92",0,94,"Romper Stomper",6.6,126
"155",1.2e+07,14534,"tt0108002","en","Rudy",5.914833,1993,"9/17/93",22750363,114,"Rudy",7.2,187
"156",0,11236,"tt0108071","en","The Secret Garden",6.499523,1993,"8/13/93",0,102,"The Secret Garden",7.1,232
"157",1.3e+07,11592,"tt0111127","en","Serial Mom",5.305311,1994,"4/13/94",7820688,95,"Serial Mom",6.4,137
"158",2.5e+07,8850,"tt0111143","en","The Shadow",7.881107,1994,"7/1/94",48063435,108,"The Shadow",5.4,140
"159",0,12519,"tt0111201","en","Sirens",2.86213,1993,"10/1/93",7770731,98,"Sirens",5.2,31
"160",0,23210,"tt0108149","en","Six Degrees of Separation",8.730025,1993,"12/8/93",0,112,"Six Degrees of Separation",6.5,75
"161",2.8e+07,78,"tt0083658","en","Blade Runner",96.272374,1982,"6/25/82",33139618,117,"Blade Runner",7.9,3833
"162",7400000,17585,"tt0111323","en","Surviving the Game",3.644641,1994,"4/15/94",7690013,96,"Surviving the Game",6.1,53
"163",3e+07,10057,"tt0108333","en","The Three Musketeers",6.34785,1993,"11/11/93",53898845,105,"The Three Musketeers",6.2,219
"164",2.5e+07,11969,"tt0108358","en","Tombstone",11.338194,1993,"12/25/93",56505065,130,"Tombstone",7.4,632
"165",2.7e+07,15139,"tt0110763","en","The Pagemaster",7.436001,1994,"11/23/94",13670688,80,"The Pagemaster",6.2,178
"166",0,218473,"tt0109226","en","The Beans of Egypt, Maine",0.38247,1994,"1/1/94",0,0,"The Beans of Egypt, Maine",0,1
"167",0,11446,"tt0114906","en","Welcome to the Dollhouse",5.14056,1995,"5/24/95",0,88,"Welcome to the Dollhouse",6.9,103
"168",0,14587,"tt0106408","en","Bhaji on the Beach",0.441585,1994,"1/21/94",0,100,"Bhaji on the Beach",5.1,10
"169",0,31504,"tt0110363","en","Little Big League",1.960563,1994,"6/29/94",0,119,"Little Big League",6,20
"170",0,41653,"tt0107349","sv","Kådisbellan",1.764582,1993,"9/24/93",0,102,"The Slingshot",6.2,10
"171",0,53185,"tt0111709","en","Wide Eyed and Legless",0.00015,1993,"9/5/93",0,102,"Wide Eyed and Legless",0,0
"172",0,95743,"tt0109828","en","Foreign Student",0.002789,1994,"7/29/94",0,90,"Foreign Student",0,0
"173",0,68806,"tt0108059","it","La scorta",0.046196,1993,"1/1/93",0,92,"The Escort",5,5
"174",0,9066,"tt0112572","en","The Brady Bunch Movie",4.233092,1995,"2/16/95",0,84,"The Brady Bunch Movie",5.9,87
"175",1.8e+07,771,"tt0099785","en","Home Alone",0.702543,1990,"11/9/90",476684675,103,"Home Alone",7.1,2487
"176",2.8e+07,812,"tt0103639","en","Aladdin",16.357419,1992,"11/25/92",504050219,90,"Aladdin",7.4,3495
"177",1e+08,280,"tt0103064","en","Terminator 2: Judgment Day",22.661695,1991,"7/1/91",5.2e+08,137,"Terminator 2: Judgment Day",7.7,4274
"178",3.5e+07,268,"tt0096895","en","Batman",19.10673,1989,"6/23/89",411348924,126,"Batman",7,2145
"179",1.9e+07,274,"tt0102926","en","The Silence of the Lambs",4.307222,1991,"2/1/91",272742922,119,"The Silence of the Lambs",8.1,4549
"180",6244087,576,"tt0065214","en","The Wild Bunch",11.722424,1969,"6/17/69",638641,145,"The Wild Bunch",7.7,266
"181",0,59146,"tt0111752","en","The Wooden Man's Bride",0.088451,1994,"2/5/94",0,113,"The Wooden Man's Bride",6.5,1
"182",0,124472,"tt0109934","en","A Great Day in Harlem",0.076352,1994,"9/27/94",0,60,"A Great Day in Harlem",7,2
"183",0,30528,"tt0112606","en","Bye Bye Love",2.47308,1995,"3/16/95",0,106,"Bye Bye Love",6.1,20
"184",0,10824,"tt0112625","en","Candyman: Farewell to the Flesh",4.983552,1995,"3/17/95",13940383,93,"Candyman: Farewell to the Flesh",5,64
"185",5e+05,54850,"tt0110374","en","Loaded",0.618066,1996,"4/12/96",0,91,"Loaded",4,3
"186",0,32308,"tt0116165","en","Ed",5.174212,1996,"3/15/96",0,94,"Ed",3.6,24
"187",0,340210,"tt0112712","en","Condition Red",0.793932,1995,"12/8/95",0,83,"Condition Red",4.7,3
"188",0,44281,"tt0090665","en","Asfour Stah",1.983301,1990,"1/1/90",0,98,"Halfaouine: Boy of the Terraces",7.4,5
"189",0,28121,"tt0117891","en","A Thin Line Between Love and Hate",2.256747,1996,"4/4/96",0,108,"A Thin Line Between Love and Hate",5.7,15
"190",3e+07,1592,"tt0117381","en","Primal Fear",10.326213,1996,"4/3/96",102616183,129,"Primal Fear",7.4,644
"191",0,36447,"tt0115837","en","Carried Away",1.67218,1996,"1/26/96",0,109,"Carried Away",5.4,5
"192",0,47449,"tt0112844","en","Denise Calls Up",0.466476,1995,"5/17/95",0,80,"Denise Calls Up",6.6,5
"193",33500000,36259,"tt0114658","en","Theodore Rex",2.583686,1995,"12/14/95",0,92,"Theodore Rex",3.6,17
"194",0,398959,"tt0117517","de","Roula - Dunkle Geheimnisse",0.149157,1995,"9/11/95",0,97,"Roula",5,1
"195",0,287305,"tt0117312","de","Peanuts – Die Bank zahlt alles",0.066123,1996,"3/21/96",0,NA,"Peanuts – Die Bank zahlt alles",4,1
"196",0,12652,"tt0113947","fr","Nelly & Monsieur Arnaud",1.784647,1996,"4/12/96",0,106,"Nelly and Monsieur Arnaud",7.1,16
"197",0,54285,"tt0112257","ko","삼공일 삼공이",0.396626,1995,"4/22/95",0,100,"301, 302",6.2,10
"198",0,11107,"tt0116168","en","Eddie",3.09233,1996,"5/31/96",0,100,"Eddie",5.4,46
"199",0,16417,"tt0111787","en","Yankee Zulu",1.558066,1993,"12/1/93",0,100,"Yankee Zulu",6,4
"200",0,10363,"tt0054189","fr","Plein soleil",3.804493,1960,"3/10/60",0,115,"Purple Noon",7.3,73
"201",8e+07,2300,"tt0117705","en","Space Jam",11.054251,1996,"11/15/96",250200000,88,"Space Jam",6.5,1335
"202",0,288173,"tt0110061","en","Hostile Intentions",0.062388,1995,"1/1/95",0,90,"Hostile Intentions",8,1
"203",0,221917,"tt0114307","en","The Run of the Country",0.117662,1995,"9/22/95",0,0,"The Run of the Country",8,2
"204",0,33245,"tt0113443","en","It's My Party",2.791667,1996,"3/22/96",0,110,"It's My Party",6.2,9
"205",0,27281,"tt0114048","en","Operation Dumbo Drop",4.357971,1995,"7/28/95",0,107,"Operation Dumbo Drop",4.7,37
"206",0,37144,"tt0114736","en","True Crime",1.217249,1996,"3/12/96",0,94,"True Crime",5.1,7
"207",0,38867,"tt0109593","en","Delta of Venus",1.099187,1995,"6/9/95",62949,99,"Delta of Venus",3.3,5
"208",0,8866,"tt0117979","en","The Truth About Cats & Dogs",5.121203,1996,"4/26/96",0,93,"The Truth About Cats & Dogs",5.7,86
"209",0,23449,"tt0115851","en","Celtic Pride",1.940747,1996,"4/19/96",0,91,"Celtic Pride",4.9,35
"210",25530000,36355,"tt0116322","en","Flipper",4.557006,1996,"5/17/96",20080020,95,"Flipper",5.3,85
"211",3.5e+07,11876,"tt0113362","en","Le Hussard sur le toit",1.690768,1995,"9/20/95",1.5e+07,135,"The Horseman on the Roof",6.7,25
"212",0,11687,"tt0108500","fr","Les visiteurs",7.326169,1993,"1/27/93",0,107,"The Visitors",7.1,433
"213",4.5e+07,9304,"tt0117108","en","Multiplicity",8.768806,1996,"7/19/96",0,117,"Multiplicity",5.5,158
"214",0,73183,"tt0113270","en","The Haunted World of Edward D. Wood, Jr.",0.037443,1996,"5/1/96",0,112,"The Haunted World of Edward D. Wood, Jr.",10,1
"215",0,20759,"tt0116448","en","The Great White Hype",3.321765,1996,"5/3/96",0,91,"The Great White Hype",5.1,29
"216",0,46063,"tt0116827","en","Last Dance",1.196686,1996,"5/2/96",5,103,"Last Dance",5.6,9
"217",0,365371,"tt0114894","en","War Stories Our Mother Never Told Us",0.005625,1900,NA,0,95,"War Stories Our Mother Never Told Us",0,0
"218",9.2e+07,664,"tt0117998","en","Twister",8.739144,1996,"5/10/96",494471524,113,"Twister",6.1,966
"219",1.8e+07,10535,"tt0117723","en","Spy Hard",8.202057,1996,"5/24/96",0,81,"Spy Hard",4.9,148
"220",0,532,"tt0112691","en","A Close Shave",6.796858,1995,"12/24/95",0,30,"A Close Shave",7.5,223
"221",0,55613,"tt0103926","en","Careful",0.160571,1992,"9/30/92",0,100,"Careful",7.8,4
"222",0,41007,"tt0113849","en","A Month by the Lake",0.851078,1995,"9/11/95",0,92,"A Month by the Lake",7.2,7
"223",0,11101,"tt0108211","de","Stalingrad",7.667284,1993,"1/21/93",0,134,"Stalingrad",7.4,116
"224",0,22621,"tt0113280","en","Heavy",0.889498,1995,"1/20/95",0,105,"Heavy",7.7,11
